branch,marks,caste,Cap_round_no,status,college_name
,,GOVERNMENT,3,,
,,MAHARASHTRA,3,,
,,CAP,3,,
,,III,3,,
,,SSC,3,,
Civil Engineering,86.2,NGOPENH,3,Government,"Government Polytechnic, Murtijapur"
Civil Engineering,86.2,NGNTBH,3,Government,"Government Polytechnic, Murtijapur"
Civil Engineering,86.2,NGOBCH,3,Government,"Government Polytechnic, Murtijapur"
Civil Engineering,86.2,NLNTDH,3,Government,"Government Polytechnic, Murtijapur"
Civil Engineering,64.2,NGSEBCH,3,Government,"Government Polytechnic, Murtijapur"
Civil Engineering,86.2,NGOPENO,3,Government,"Government Polytechnic, Murtijapur"
Civil Engineering,86.2,NGSTO,3,Government,"Government Polytechnic, Murtijapur"
Civil Engineering,86.2,NLNTCO,3,Government,"Government Polytechnic, Murtijapur"
Civil Engineering,85.0,ORPHAN,3,Government,"Government Polytechnic, Murtijapur"
Civil Engineering,,DEFR,3,Government,"Government Polytechnic, Murtijapur"
Civil Engineering,,GOVERNMENT,3,Government,"Government Polytechnic, Murtijapur"
Civil Engineering,,MAHARASHTRA,3,Government,"Government Polytechnic, Murtijapur"
Civil Engineering,,CAP,3,Government,"Government Polytechnic, Murtijapur"
Civil Engineering,,III,3,Government,"Government Polytechnic, Murtijapur"
Civil Engineering,,SSC,3,Government,"Government Polytechnic, Murtijapur"
Computer Engineering,88.4,NGSCH,3,Government,"Government Polytechnic, Murtijapur"
Computer Engineering,88.4,NGSTH,3,Government,"Government Polytechnic, Murtijapur"
Computer Engineering,88.4,NGNTBH,3,Government,"Government Polytechnic, Murtijapur"
Computer Engineering,88.4,NGOBCH,3,Government,"Government Polytechnic, Murtijapur"
Computer Engineering,89.8,NGSEBCH,3,Government,"Government Polytechnic, Murtijapur"
Computer Engineering,87.2,NGSCO,3,Government,"Government Polytechnic, Murtijapur"
Computer Engineering,87.2,NLOPENO,3,Government,"Government Polytechnic, Murtijapur"
Computer Engineering,87.2,NLOBCO,3,Government,"Government Polytechnic, Murtijapur"
Computer Engineering,92.8,DEFOPENS,3,Government,"Government Polytechnic, Murtijapur"
Computer Engineering,92.8,EWS,3,Government,"Government Polytechnic, Murtijapur"
Computer Engineering,92.8,ORPHAN,3,Government,"Government Polytechnic, Murtijapur"
Computer Engineering,92.8,PWD,3,Government,"Government Polytechnic, Murtijapur"
Computer Engineering,92.8,DEF3395,3,Government,"Government Polytechnic, Murtijapur"
Computer Engineering,,DEFR,3,Government,"Government Polytechnic, Murtijapur"
